spend_date,channel,spend_usd,clicks,impressions
2024-10-13,referral,198.93,156,14217
2024-10-13,display,546.97,196,6859
2024-10-14,paid_search,1604.59,720,25798
2024-10-14,social,1120.21,730,16189
2024-10-14,email,187.18,130,7112
2024-10-14,referral,268.24,168,8243
2024-10-14,display,655.0,224,4980
2024-10-15,paid_search,1244.29,757,16684
2024-10-15,social,1023.55,676,23351
2024-10-15,email,126.21,60,1389
2024-10-15,referral,249.87,132,2554
2024-10-15,display,505.17,186,3512
2024-10-16,paid_search,2215.92,1213,33328
2024-10-16,social,1524.27,482,14302
2024-10-16,email,192.72,69,1938
2024-10-16,referral,346.21,221,4109
2024-10-16,display,791.53,252,7038
2024-10-17,paid_search,1204.57,808,21808
2024-10-17,social,1205.96,395,7044
2024-10-17,email,155.5,122,2856
2024-10-17,referral,212.11,80,4206
2024-10-17,display,564.18,185,4797
2024-10-18,paid_search,2355.26,1158,32034
2024-10-18,social,1401.9,487,10653
2024-10-18,email,149.33,106,5263
2024-10-18,referral,376.4,243,7735
2024-10-18,display,774.26,507,13906
2024-10-19,paid_search,1584.94,803,43270
2024-10-19,social,1189.51,408,7411
2024-10-19,email,113.9,85,1418
2024-10-19,referral,193.59,69,1577
2024-10-19,display,381.66,125,10124
2024-10-20,paid_search,1044.81,620,26961
2024-10-20,social,1025.43,348,6751
2024-10-20,email,91.97,41,1201
2024-10-20,referral,190.59,62,1644
2024-10-20,display,583.19,196,7549
2024-10-21,paid_search,1419.57,743,20475
2024-10-21,social,1320.39,705,52848
2024-10-21,email,90.2,70,1324
2024-10-21,referral,313.1,201,5165
2024-10-21,display,572.27,194,5331
2024-10-22,paid_search,1652.72,708,41829
2024-10-22,social,1439.27,688,30410
2024-10-22,email,106.61,81,1667
2024-10-22,referral,374.9,119,4811
2024-10-22,display,480.21,199,5178
2024-10-23,paid_search,1854.89,879,32981
2024-10-23,social,1441.5,787,33508
2024-10-23,email,148.02,97,2741
2024-10-23,referral,327.87,127,2533
2024-10-23,display,631.53,289,5546
2024-10-24,paid_search,2244.41,1528,96802
2024-10-24,social,1236.7,924,60828
2024-10-24,email,159.9,51,1229
2024-10-24,referral,403.05,239,17261
2024-10-24,display,474.75,295,8702
2024-10-25,paid_search,2290.14,1722,36011
2024-10-25,social,1413.07,463,8712
2024-10-25,email,194.15,75,1739
2024-10-25,referral,313.19,156,9936
2024-10-25,display,595.47,222,8814
2024-10-26,paid_search,1688.13,822,18244
2024-10-26,social,1211.52,421,7954
2024-10-26,email,134.26,52,1059
2024-10-26,referral,271.59,87,2274
2024-10-26,display,333.91,122,3688
2024-10-27,paid_search,1346.66,561,50079
2024-10-27,social,802.64,470,16582
2024-10-27,email,142.09,78,1462
2024-10-27,referral,215.16,116,2796
2024-10-27,display,587.04,342,7089
2024-10-28,paid_search,2207.33,840,18253
2024-10-28,social,1587.71,968,34333
2024-10-28,email,90.86,65,1583
2024-10-28,referral,212.43,140,11418
2024-10-28,display,573.92,202,5004
2024-10-29,paid_search,1771.92,854,31025
2024-10-29,social,1020.8,402,10759
2024-10-29,email,201.32,114,6145
2024-10-29,referral,199.43,128,3609
2024-10-29,display,939.91,424,8662
2024-10-30,paid_search,2198.67,1044,55021
2024-10-30,social,894.29,411,13983
2024-10-30,email,97.5,79,1759
2024-10-30,referral,187.81,60,2872
2024-10-30,display,656.28,227,17989
2024-10-31,paid_search,2199.5,1733,89095
2024-10-31,social,1228.96,766,42902
2024-10-31,email,192.1,123,4577
2024-10-31,referral,359.43,149,2850
2024-10-31,display,798.18,415,25006
2024-11-01,paid_search,1485.56,1117,40353
2024-11-01,social,1238.56,582,23590
2024-11-01,email,167.42,61,2191
2024-11-01,referral,396.83,167,3653
2024-11-01,display,731.5,241,9358
2024-11-02,paid_search,1467.69,469,24507
2024-11-02,social,1014.26,473,15303
2024-11-02,email,84.16,26,457
2024-11-02,referral,160.29,55,4657
2024-11-02,display,514.66,222,6382
2024-11-03,paid_search,1614.11,535,9973
2024-11-03,social,758.79,251,7138
2024-11-03,email,145.28,99,2247
2024-11-03,referral,180.72,66,1301
2024-11-03,display,488.81,215,17043
2024-11-04,paid_search,1238.57,617,20867
2024-11-04,social,933.41,517,10769
2024-11-04,email,181.97,76,5212
2024-11-04,referral,214.86,149,13831
2024-11-04,display,863.48,657,13618
2024-11-05,paid_search,1683.24,967,17550
2024-11-05,social,911.62,285,6573
2024-11-05,email,167.51,122,2512
2024-11-05,referral,239.18,110,5032
2024-11-05,display,535.6,399,10757
2024-11-06,paid_search,2373.21,1094,65324
2024-11-06,social,1486.0,872,15239
2024-11-06,email,178.57,74,1513
2024-11-06,referral,259.17,88,1478
2024-11-06,display,687.8,280,9265
2024-11-07,paid_search,2052.8,1016,20767
2024-11-07,social,1597.07,707,39050
2024-11-07,email,143.73,73,1925
2024-11-07,referral,181.84,66,5650
2024-11-07,display,872.37,472,8210
2024-11-08,paid_search,1904.0,656,11177
2024-11-08,social,1351.8,977,37780
2024-11-08,email,171.9,81,1676
2024-11-08,referral,276.46,201,4162
2024-11-08,display,675.11,231,9776
2024-11-09,paid_search,1656.55,1095,25621
2024-11-09,social,616.55,429,7444
2024-11-09,email,83.6,50,1038
2024-11-09,referral,147.61,49,937
2024-11-09,display,387.37,132,2802
2024-11-10,paid_search,1115.14,506,11343
2024-11-10,social,998.05,355,15051
2024-11-10,email,98.18,42,2308
2024-11-10,referral,152.48,73,6749
2024-11-10,display,537.87,312,10155
2024-11-11,paid_search,2222.51,1043,58688
2024-11-11,social,1217.0,727,50262
2024-11-11,email,146.06,47,949
2024-11-11,referral,256.25,210,4648
2024-11-11,display,451.61,143,2481
2024-11-12,paid_search,1220.66,462,11266
2024-11-12,social,1496.58,532,13831
2024-11-12,email,187.12,72,1989
2024-11-12,referral,186.32,69,4358
2024-11-12,display,438.82,178,6968
2024-11-13,paid_search,1506.05,488,8848
2024-11-13,social,1526.76,768,40134
2024-11-13,email,169.49,63,2855
2024-11-13,referral,308.93,140,6798
2024-11-13,display,535.49,419,26544
2024-11-14,paid_search,1613.86,897,45404
2024-11-14,social,752.06,324,6696
2024-11-14,email,96.51,31,1565
2024-11-14,referral,286.84,141,8889
2024-11-14,display,746.28,465,27516
2024-11-15,paid_search,2195.91,1262,52964
2024-11-15,social,769.57,300,7130
2024-11-15,email,108.8,34,745
2024-11-15,referral,271.82,109,3050
2024-11-15,display,856.22,682,60439
2024-11-16,paid_search,1737.6,851,45627
2024-11-16,social,591.75,490,12538
2024-11-16,email,106.41,34,600
2024-11-16,referral,206.72,105,2927
2024-11-16,display,632.81,233,3949
2024-11-17,paid_search,1080.54,397,19292
2024-11-17,social,947.46,456,15864
2024-11-17,email,73.75,26,511
2024-11-17,referral,230.63,124,5204
2024-11-17,display,636.21,378,27409
2024-11-18,paid_search,1339.13,588,9968
2024-11-18,social,1532.59,654,11134
2024-11-18,email,94.72,45,1628
2024-11-18,referral,383.54,145,3546
2024-11-18,display,753.69,361,28719
2024-11-19,paid_search,2398.47,1451,88265
2024-11-19,social,962.02,395,7059
2024-11-19,email,200.17,131,7756
2024-11-19,referral,292.67,160,3568
2024-11-19,display,937.94,556,36416
2024-11-20,paid_search,2086.21,730,19379
2024-11-20,social,776.68,513,24064
2024-11-20,email,169.31,121,2921
2024-11-20,referral,378.38,207,4425
2024-11-20,display,553.13,236,4689
2024-11-21,paid_search,1273.5,560,16190
2024-11-21,social,791.03,411,11914
2024-11-21,email,195.98,69,6538
2024-11-21,referral,393.1,155,14963
2024-11-21,display,648.76,284,19263
2024-11-22,paid_search,1548.69,1126,48565
2024-11-22,social,1497.96,630,18476
2024-11-22,email,116.35,76,2295
2024-11-22,referral,183.46,96,3431
2024-11-22,display,913.0,302,25766
2024-11-23,paid_search,1212.14,460,9288
2024-11-23,social,541.84,332,13464
2024-11-23,email,105.08,71,1685
2024-11-23,referral,256.83,111,4098
2024-11-23,display,463.66,171,7414
2024-11-24,paid_search,1049.51,329,6887
2024-11-24,social,743.89,387,10870
2024-11-24,email,119.27,78,3559
2024-11-24,referral,210.4,143,5590
2024-11-24,display,362.23,155,6802
2024-11-25,paid_search,1747.32,613,24421
2024-11-25,social,1541.2,667,17451
2024-11-25,email,142.07,59,1141
2024-11-25,referral,239.65,147,5990
2024-11-25,display,908.92,338,7355
2024-11-26,paid_search,1210.43,652,26958
2024-11-26,social,1132.44,393,15096
2024-11-26,email,196.22,87,3763
2024-11-26,referral,208.05,93,1881
2024-11-26,display,609.94,200,17653
2024-11-27,paid_search,2008.93,1642,28370
2024-11-27,social,1483.93,595,14875
2024-11-27,email,129.26,65,1254
2024-11-27,referral,279.27,107,8048
2024-11-27,display,812.5,429,18223
2024-11-28,paid_search,2080.23,1144,32664
2024-11-28,social,1163.72,638,14945
2024-11-28,email,191.01,73,1480
2024-11-28,referral,242.32,168,3403
2024-11-28,display,790.64,406,10272
2024-11-29,paid_search,2243.15,1131,50221
2024-11-29,social,1290.27,693,26644
2024-11-29,email,97.84,42,943
2024-11-29,referral,277.25,94,3180
2024-11-29,display,451.66,179,4744
2024-11-30,paid_search,1052.19,736,15531
2024-11-30,social,620.97,500,24809
2024-11-30,email,74.24,34,601
2024-11-30,referral,185.27,94,1982
2024-11-30,display,413.91,198,4031
2024-12-01,paid_search,913.57,299,5449
2024-12-01,social,964.56,313,6060
2024-12-01,email,151.55,66,3473
2024-12-01,referral,205.96,139,2688
2024-12-01,display,680.12,538,16052
2024-12-02,paid_search,1438.49,499,15681
2024-12-02,social,1299.12,609,30449
2024-12-02,email,163.21,65,1372
2024-12-02,referral,305.58,112,3302
2024-12-02,display,879.05,502,29464
2024-12-03,paid_search,2166.56,1039,96127
2024-12-03,social,1309.55,580,18258
2024-12-03,email,150.45,96,2600
2024-12-03,referral,201.74,165,3874
2024-12-03,display,684.16,429,9466
2024-12-04,paid_search,1580.06,849,15032
2024-12-04,social,990.8,489,39386
2024-12-04,email,135.71,42,1784
2024-12-04,referral,347.8,288,18008
2024-12-04,display,687.0,528,11044
2024-12-05,paid_search,1590.19,665,16773
2024-12-05,social,1263.85,428,21059
2024-12-05,email,151.51,90,1778
2024-12-05,referral,238.12,101,2500
2024-12-05,display,724.64,317,5457
2024-12-06,paid_search,2291.3,1356,56833
2024-12-06,social,1047.27,572,21082
2024-12-06,email,199.81,156,3441
2024-12-06,referral,247.2,120,2014
2024-12-06,display,609.2,207,4777
2024-12-07,paid_search,1195.36,676,20219
2024-12-07,social,1111.83,677,31545
2024-12-07,email,123.04,44,1509
2024-12-07,referral,163.1,79,1428
2024-12-07,display,637.29,427,7574
2024-12-08,paid_search,1206.97,407,19340
2024-12-08,social,873.28,408,35888
2024-12-08,email,99.89,44,806
2024-12-08,referral,273.57,101,2236
2024-12-08,display,586.74,259,5587
2024-12-09,paid_search,1492.3,523,10438
2024-12-09,social,1020.04,408,19109
2024-12-09,email,105.91,47,1284
2024-12-09,referral,283.28,174,3527
2024-12-09,display,769.66,302,12260
2024-12-10,paid_search,1177.17,803,17611
2024-12-10,social,854.76,408,10357
2024-12-10,email,153.94,52,3093
2024-12-10,referral,233.7,87,4444
2024-12-10,display,904.69,412,9174
2024-12-11,paid_search,1467.73,493,24696
2024-12-11,social,816.11,327,10809
2024-12-11,email,137.49,64,1149
2024-12-11,referral,370.74,166,3700
2024-12-11,display,587.55,203,15273
2024-12-12,paid_search,1736.56,632,12154
2024-12-12,social,1541.84,993,18283
2024-12-12,email,97.73,34,683
2024-12-12,referral,191.87,89,1945
2024-12-12,display,755.31,281,8156
2024-12-13,paid_search,1293.09,786,28662
2024-12-13,social,871.7,422,8119
2024-12-13,email,185.31,86,2409
2024-12-13,referral,403.31,143,4119
2024-12-13,display,519.58,202,4813
2024-12-14,paid_search,1574.19,682,13205
2024-12-14,social,915.46,310,20790
2024-12-14,email,96.94,80,1454
2024-12-14,referral,195.74,75,2650
2024-12-14,display,485.64,165,5056
2024-12-15,paid_search,1253.35,958,34051
2024-12-15,social,724.59,302,9701
2024-12-15,email,128.56,66,1564
2024-12-15,referral,242.54,195,5378
2024-12-15,display,676.19,295,5399
2024-12-16,paid_search,2208.12,1044,23380
2024-12-16,social,881.28,622,38810
2024-12-16,email,94.74,72,1697
2024-12-16,referral,212.9,151,4132
2024-12-16,display,862.87,534,32410
2024-12-17,paid_search,2161.17,1779,40807
2024-12-17,social,1036.71,486,18280
2024-12-17,email,121.22,60,1935
2024-12-17,referral,242.46,130,3084
2024-12-17,display,504.87,163,2889
2024-12-18,paid_search,2291.23,864,35466
2024-12-18,social,1577.56,824,39745
2024-12-18,email,196.21,97,2114
2024-12-18,referral,333.46,222,4540
2024-12-18,display,903.67,438,8623
2024-12-19,paid_search,1528.02,806,16274
2024-12-19,social,1589.95,628,10802
2024-12-19,email,149.65,101,2541
2024-12-19,referral,358.89,198,3374
2024-12-19,display,694.36,263,5130
2024-12-20,paid_search,2342.96,802,55423
2024-12-20,social,998.32,735,22374
2024-12-20,email,120.87,39,2031
2024-12-20,referral,349.11,111,6247
2024-12-20,display,554.26,178,3423
2024-12-21,paid_search,1148.78,547,31590
2024-12-21,social,611.06,228,16545
2024-12-21,email,75.91,29,728
2024-12-21,referral,294.34,122,2281
2024-12-21,display,392.92,220,18506
2024-12-22,paid_search,1810.37,960,61236
2024-12-22,social,693.11,262,4430
2024-12-22,email,73.19,29,1105
2024-12-22,referral,167.34,134,5109
2024-12-22,display,340.67,119,2504
2024-12-23,paid_search,1761.11,747,15896
2024-12-23,social,1534.26,587,28506
2024-12-23,email,119.61,39,1953
2024-12-23,referral,276.63,89,2757
2024-12-23,display,934.45,540,53344
2024-12-24,paid_search,1919.72,994,18485
2024-12-24,social,1209.26,731,25531
2024-12-24,email,109.88,51,2485
2024-12-24,referral,247.74,96,2007
2024-12-24,display,589.4,195,12794
2024-12-25,paid_search,1472.2,715,20810
2024-12-25,social,1067.16,767,14409
2024-12-25,email,130.03,50,1805
2024-12-25,referral,381.7,169,2926
2024-12-25,display,484.42,183,3104
2024-12-26,paid_search,2383.11,1019,17042
2024-12-26,social,947.25,644,44123
2024-12-26,email,184.24,136,5101
2024-12-26,referral,299.5,116,2650
2024-12-26,display,811.43,376,7744
2024-12-27,paid_search,1963.93,770,16849
2024-12-27,social,1233.51,819,18052
2024-12-27,email,170.91,81,1643
2024-12-27,referral,335.62,242,6900
2024-12-27,display,622.11,243,7249
2024-12-28,paid_search,1271.79,489,32135
2024-12-28,social,860.57,507,30662
2024-12-28,email,138.37,55,3801
2024-12-28,referral,263.35,90,1739
2024-12-28,display,385.74,218,7034
2024-12-29,paid_search,884.17,318,8957
2024-12-29,social,1084.22,883,15102
2024-12-29,email,137.31,46,1259
2024-12-29,referral,193.24,70,1383
2024-12-29,display,425.73,138,3561
2024-12-30,paid_search,1628.69,672,36591
2024-12-30,social,1257.35,480,11330
2024-12-30,email,188.11,65,1147
2024-12-30,referral,243.22,123,4942
2024-12-30,display,575.42,181,16027
2024-12-31,paid_search,2407.56,1535,56432
2024-12-31,social,1246.79,625,21272
2024-12-31,email,112.43,88,2889
2024-12-31,referral,393.35,211,4541
2024-12-31,display,779.6,519,17729
2025-01-01,paid_search,1214.64,493,36853
2025-01-01,social,1529.41,867,43471
2025-01-01,email,90.97,31,2827
2025-01-01,referral,246.48,91,1834
2025-01-01,display,585.81,383,9974
2025-01-02,paid_search,2303.01,1180,55195
2025-01-02,social,784.97,326,19311
2025-01-02,email,98.28,77,1531
2025-01-02,referral,348.58,147,2632
2025-01-02,display,798.06,360,6724
2025-01-03,paid_search,2294.18,966,38879
2025-01-03,social,754.9,460,10273
2025-01-03,email,135.41,58,2326
2025-01-03,referral,336.05,278,17310
2025-01-03,display,870.9,625,26594
2025-01-04,paid_search,1193.25,588,11300
2025-01-04,social,1018.48,728,21554
2025-01-04,email,110.24,63,2752
2025-01-04,referral,182.93,60,1120
2025-01-04,display,441.04,330,8628
2025-01-05,paid_search,1609.56,1003,21095
2025-01-05,social,912.32,404,7869
2025-01-05,email,134.53,74,3553
2025-01-05,referral,146.15,60,2377
2025-01-05,display,331.2,194,10214
2025-01-06,paid_search,2261.11,1369,25923
2025-01-06,social,1074.18,592,28993
2025-01-06,email,163.29,93,1999
2025-01-06,referral,250.98,118,9288
2025-01-06,display,845.32,347,13112
2025-01-07,paid_search,1839.6,663,36294
2025-01-07,social,1596.89,1202,24775
2025-01-07,email,103.59,34,1298
2025-01-07,referral,286.81,125,7945
2025-01-07,display,674.56,272,10083
2025-01-08,paid_search,1114.57,575,13484
2025-01-08,social,1155.69,825,13875
2025-01-08,email,99.95,64,2222
2025-01-08,referral,297.25,127,8711
2025-01-08,display,446.43,189,16319
2025-01-09,paid_search,1650.75,1114,19167
2025-01-09,social,1454.02,860,16337
2025-01-09,email,135.22,82,2568
2025-01-09,referral,367.43,266,5186
2025-01-09,display,597.67,331,9026
2025-01-10,paid_search,2349.75,1317,111591
2025-01-10,social,891.05,488,30629
2025-01-10,email,106.73,33,1497
2025-01-10,referral,371.72,128,4285
2025-01-10,display,604.39,355,6677
2025-01-11,paid_search,887.0,351,21102
2025-01-11,social,574.32,450,29836
2025-01-11,email,111.79,91,6078
2025-01-11,referral,209.8,67,1241
2025-01-11,display,553.0,252,6643
2025-01-12,paid_search,1057.88,389,15887
2025-01-12,social,633.4,421,12424
2025-01-12,email,67.51,24,1363
2025-01-12,referral,248.89,131,3746
2025-01-12,display,705.6,346,7541
2025-01-13,paid_search,1964.88,771,16443
2025-01-13,social,955.55,657,12596
2025-01-13,email,123.86,47,799
2025-01-13,referral,234.37,109,6321
2025-01-13,display,865.67,365,10538
2025-01-14,paid_search,2425.65,1993,44072
2025-01-14,social,1363.28,672,18919
2025-01-14,email,105.05,79,4168
2025-01-14,referral,402.15,288,23014
2025-01-14,display,660.38,406,8579
2025-01-15,paid_search,1345.24,424,26733
2025-01-15,social,998.69,436,8678
2025-01-15,email,186.09,98,6476
2025-01-15,referral,400.25,179,11526
2025-01-15,display,891.04,553,32540
2025-01-16,paid_search,1874.4,903,19354
2025-01-16,social,983.33,483,18433
2025-01-16,email,140.18,108,6906
2025-01-16,referral,206.18,92,1657
2025-01-16,display,656.51,294,11988
2025-01-17,paid_search,2287.05,940,50311
2025-01-17,social,1154.78,422,20076
2025-01-17,email,122.42,49,1900
2025-01-17,referral,217.15,77,2146
2025-01-17,display,896.41,700,22975
2025-01-18,paid_search,1037.7,351,27262
2025-01-18,social,1030.26,388,11775
2025-01-18,email,127.15,40,754
2025-01-18,referral,281.06,119,3945
2025-01-18,display,330.18,106,4154
2025-01-19,paid_search,1414.9,1168,68946
2025-01-19,social,713.56,272,16198
2025-01-19,email,151.57,89,1549
2025-01-19,referral,174.5,66,1245
2025-01-19,display,383.09,159,3587
2025-01-20,paid_search,1850.68,625,10520
2025-01-20,social,872.64,503,14519
2025-01-20,email,124.96,89,4740
2025-01-20,referral,243.69,182,5608
2025-01-20,display,462.1,148,6039
2025-01-21,paid_search,1224.66,938,47883
2025-01-21,social,1534.01,1265,23818
2025-01-21,email,105.37,35,772
2025-01-21,referral,205.46,130,4723
2025-01-21,display,794.89,287,8051
2025-01-22,paid_search,1086.72,451,16070
2025-01-22,social,1324.72,462,9417
2025-01-22,email,187.53,140,2881
2025-01-22,referral,369.4,138,2944
2025-01-22,display,526.2,187,4509
2025-01-23,paid_search,1240.19,439,17450
2025-01-23,social,750.43,385,9782
2025-01-23,email,151.46,51,5028
2025-01-23,referral,397.14,221,13109
2025-01-23,display,615.03,200,3622
2025-01-24,paid_search,1424.53,835,41028
2025-01-24,social,1268.85,644,18272
2025-01-24,email,145.05,100,2518
2025-01-24,referral,262.39,101,6812
2025-01-24,display,592.96,301,18218
2025-01-25,paid_search,1264.52,441,10198
2025-01-25,social,944.31,320,17338
2025-01-25,email,73.5,45,808
2025-01-25,referral,238.24,77,1890
2025-01-25,display,670.1,237,6732
2025-01-26,paid_search,1049.65,438,19796
2025-01-26,social,656.11,437,8130
2025-01-26,email,118.6,74,2496
2025-01-26,referral,223.04,79,6902
2025-01-26,display,330.81,159,3647
2025-01-27,paid_search,2300.6,1056,36348
2025-01-27,social,851.53,426,8678
2025-01-27,email,197.37,80,1400
2025-01-27,referral,369.63,120,4777
2025-01-27,display,834.19,449,12974
2025-01-28,paid_search,1642.65,741,33712
2025-01-28,social,1127.3,556,26067
2025-01-28,email,189.36,133,4277
2025-01-28,referral,219.7,73,1540
2025-01-28,display,861.38,404,13290
2025-01-29,paid_search,1640.74,609,11409
2025-01-29,social,804.2,389,6974
2025-01-29,email,112.64,45,1066
2025-01-29,referral,342.8,115,3805
2025-01-29,display,896.23,345,6370
2025-01-30,paid_search,2145.28,1056,45302
2025-01-30,social,969.49,360,7456
2025-01-30,email,110.71,78,3553
2025-01-30,referral,386.23,167,4378
2025-01-30,display,833.96,312,7936
2025-01-31,paid_search,1489.77,636,17188
2025-01-31,social,848.99,298,11274
2025-01-31,email,138.62,108,2913
2025-01-31,referral,291.57,105,4405
2025-01-31,display,707.82,510,14093
2025-02-01,paid_search,1738.71,814,48073
2025-02-01,social,851.34,341,6595
2025-02-01,email,119.8,40,1245
2025-02-01,referral,291.22,186,4531
2025-02-01,display,681.48,540,13530
2025-02-02,paid_search,1685.83,611,14098
2025-02-02,social,1171.45,454,14845
2025-02-02,email,90.0,38,798
2025-02-02,referral,262.52,190,4209
2025-02-02,display,692.12,530,10250
2025-02-03,paid_search,1647.53,829,37449
2025-02-03,social,1380.12,526,16776
2025-02-03,email,121.31,70,1884
2025-02-03,referral,244.09,159,4981
2025-02-03,display,651.7,273,19619
2025-02-04,paid_search,2117.11,1637,88073
2025-02-04,social,745.68,271,9834
2025-02-04,email,111.03,47,1961
2025-02-04,referral,280.14,145,9855
2025-02-04,display,777.95,296,5042
2025-02-05,paid_search,2290.13,873,15251
2025-02-05,social,827.56,473,8255
2025-02-05,email,176.45,60,1256
2025-02-05,referral,207.1,101,3623
2025-02-05,display,681.94,288,5087
2025-02-06,paid_search,1265.84,439,8316
2025-02-06,social,1034.87,701,14929
2025-02-06,email,97.53,53,916
2025-02-06,referral,292.28,126,7667
2025-02-06,display,861.51,315,10640
2025-02-07,paid_search,2405.95,1543,48174
2025-02-07,social,1076.94,679,25943
2025-02-07,email,135.82,48,1360
2025-02-07,referral,370.47,133,3279
2025-02-07,display,482.99,212,5358
2025-02-08,paid_search,1212.03,464,20232
2025-02-08,social,1010.67,600,19890
2025-02-08,email,87.61,34,619
2025-02-08,referral,173.1,118,4317
2025-02-08,display,602.93,268,6838
2025-02-09,paid_search,1592.92,1136,35232
2025-02-09,social,1166.18,749,49999
2025-02-09,email,148.31,72,2748
2025-02-09,referral,271.87,214,6513
2025-02-09,display,685.87,452,26513
2025-02-10,paid_search,1455.8,561,13246
2025-02-10,social,1498.59,580,20095
2025-02-10,email,96.09,44,3423
2025-02-10,referral,396.98,188,4543
2025-02-10,display,942.89,380,7061
2025-02-11,paid_search,1539.41,801,17441
2025-02-11,social,1239.61,778,13674
2025-02-11,email,105.62,34,714
2025-02-11,referral,323.15,219,4821
2025-02-11,display,895.8,284,16022
2025-02-12,paid_search,2228.13,781,14142
2025-02-12,social,1248.03,546,10990
2025-02-12,email,174.37,72,1221
2025-02-12,referral,267.77,104,8453
2025-02-12,display,647.77,214,11494
2025-02-13,paid_search,2113.68,718,18634
2025-02-13,social,946.52,652,14705
2025-02-13,email,129.03,67,2952
2025-02-13,referral,231.4,100,1990
2025-02-13,display,555.27,291,5874
2025-02-14,paid_search,1113.32,784,19742
2025-02-14,social,844.4,645,29159
2025-02-14,email,114.17,41,3190
2025-02-14,referral,186.05,81,1667
2025-02-14,display,896.11,290,9211
2025-02-15,paid_search,997.77,498,11266
2025-02-15,social,845.64,390,13188
2025-02-15,email,78.88,33,2425
2025-02-15,referral,193.08,64,2065
2025-02-15,display,374.02,133,3200
2025-02-16,paid_search,1520.42,482,14515
2025-02-16,social,604.81,336,6514
2025-02-16,email,131.87,42,723
2025-02-16,referral,179.91,76,1383
2025-02-16,display,560.83,377,10399
2025-02-17,paid_search,1681.45,1309,40598
2025-02-17,social,733.24,234,11950
2025-02-17,email,187.71,97,4236
2025-02-17,referral,193.2,147,4262
2025-02-17,display,858.3,328,7413
2025-02-18,paid_search,1401.11,615,10513
2025-02-18,social,1204.58,624,37707
2025-02-18,email,183.33,63,1700
2025-02-18,referral,333.54,198,12140
2025-02-18,display,740.56,481,27774
2025-02-19,paid_search,1668.83,543,11026
2025-02-19,social,772.88,477,30093
2025-02-19,email,162.47,73,2188
2025-02-19,referral,197.61,138,10981
2025-02-19,display,928.22,318,13473
2025-02-20,paid_search,2190.36,911,26338
2025-02-20,social,983.88,363,9223
2025-02-20,email,145.26,51,4151
2025-02-20,referral,363.02,115,2820
2025-02-20,display,838.1,402,7564
2025-02-21,paid_search,2244.42,1064,34210
2025-02-21,social,903.4,696,14371
2025-02-21,email,138.89,68,4356
2025-02-21,referral,204.59,115,4313
2025-02-21,display,606.65,203,5513
2025-02-22,paid_search,1502.67,481,14590
2025-02-22,social,854.49,308,5382
2025-02-22,email,108.27,65,1501
2025-02-22,referral,252.39,97,2233
2025-02-22,display,506.27,293,6551
2025-02-23,paid_search,1184.22,746,39378
2025-02-23,social,1153.52,623,15873
2025-02-23,email,99.86,58,1960
2025-02-23,referral,143.85,65,3123
